wealth_state,income_state,var,variable,value
0.12,9.0,Y,var_l1,8.0
0.12,10.0,C,var_l1,0.961601
0.12,10.0,H_own,var_l1,0.0
0.12,10.0,H_rent,var_l1,1.638313
0.12,10.0,Q,var_l1,0.124591
0.12,10.0,Y,var_l1,9.0
0.13,8.0,C,var_l1,0.7813625
0.13,8.0,H_own,var_l1,0.0
0.13,8.0,H_rent,var_l1,1.330895
0.13,8.0,Q,var_l1,0.131212
0.13,8.0,Y,var_l1,7.0
0.13,9.0,C,var_l1,0.863301
0.13,9.0,H_own,var_l1,0.0
0.13,9.0,H_rent,var_l1,1.47188
0.13,9.0,Q,var_l1,0.132046
0.13,9.0,Y,var_l1,8.0
0.13,10.0,C,var_l1,0.9599995
0.13,10.0,H_own,var_l1,0.0
0.13,10.0,H_rent,var_l1,1.6356425
0.13,10.0,Q,var_l1,0.1338175
0.13,10.0,Y,var_l1,9.0
0.14,8.0,C,var_l1,0.789981
0.14,8.0,H_own,var_l1,0.0
0.14,8.0,H_rent,var_l1,1.345763
0.14,8.0,Q,var_l1,0.145115
0.14,8.0,Y,var_l1,7.0
0.14,9.0,C,var_l1,0.888748
0.14,9.0,H_own,var_l1,0.0
0.14,9.0,H_rent,var_l1,1.5147295
0.14,9.0,Q,var_l1,0.1423725
0.14,9.0,Y,var_l1,8.0
0.14,10.0,C,var_l1,0.957394
0.14,10.0,H_own,var_l1,0.0
0.14,10.0,H_rent,var_l1,1.631298
0.14,10.0,Q,var_l1,0.144248
0.14,10.0,Y,var_l1,9.0
0.17,9.0,C,var_l1,0.81166
0.17,9.0,H_own,var_l1,0.0
0.17,9.0,H_rent,var_l1,1.383061
0.17,9.0,Q,var_l1,0.174486
0.17,9.0,Y,var_l1,8.0
0.17,10.0,C,var_l1,0.948957
0.17,10.0,H_own,var_l1,0.0
0.17,10.0,H_rent,var_l1,1.617229
0.17,10.0,Q,var_l1,0.178023
0.17,10.0,Y,var_l1,9.0
0.18,8.0,C,var_l1,0.724033
0.18,8.0,H_own,var_l1,0.0
0.18,8.0,H_rent,var_l1,1.234294
0.18,8.0,Q,var_l1,0.181896
0.18,8.0,Y,var_l1,7.0
0.18,9.0,C,var_l1,0.82813
0.18,9.0,H_own,var_l1,0.0
0.18,9.0,H_rent,var_l1,1.410695
0.18,9.0,Q,var_l1,0.18532
0.18,9.0,Y,var_l1,8.0
0.19,8.0,C,var_l1,0.754949
0.19,8.0,H_own,var_l1,0.0
